Title,Price,Mileage,Location,Link,Status
Used 2019 Honda Odyssey EX-L,"23,966","105,998 miles",https://www.autotrader.com/cars-for-sale/vehicle/699754254?city=Roanoke&listingType=USED&makeCode=HONDA&maxPrice=24000&mileage=150000&modelCode=ODYSSEY&newSearch=false&referrer=%2Fcars-for-sale%2Fcars-under-24000%2Fhonda%2Fodyssey%2Froanoke-tx%3FisNewSearch%3Dfalse%26maxMileage%3D150000%26searchRadius%3D0%26startYear%3D2018%26trimCodeList%3DODYSSEY%257CEX-L%252CODYSSEY%257CElite%252CODYSSEY%257CTouring%252CODYSSEY%257CTouring%2520Elite%26zip%3D76262&searchRadius=0&startYear=2018&state=TX&trimCode=ODYSSEY%7CEX-L&trimCode=ODYSSEY%7CElite&trimCode=ODYSSEY%7CTouring&trimCode=ODYSSEY%7CTouring%20Elite&zip=76262&clickType=listing,N/A,New
Used 2019 Honda Odyssey EX-L,"22,900","97,012 miles",https://www.autotrader.com/cars-for-sale/vehicle/693477266?city=Roanoke&listingType=USED&makeCode=HONDA&maxPrice=24000&mileage=150000&modelCode=ODYSSEY&newSearch=false&referrer=%2Fcars-for-sale%2Fcars-under-24000%2Fhonda%2Fodyssey%2Froanoke-tx%3FisNewSearch%3Dfalse%26maxMileage%3D150000%26searchRadius%3D0%26startYear%3D2018%26trimCodeList%3DODYSSEY%257CEX-L%252CODYSSEY%257CElite%252CODYSSEY%257CTouring%252CODYSSEY%257CTouring%2520Elite%26zip%3D76262&searchRadius=0&startYear=2018&state=TX&trimCode=ODYSSEY%7CEX-L&trimCode=ODYSSEY%7CElite&trimCode=ODYSSEY%7CTouring&trimCode=ODYSSEY%7CTouring%20Elite&zip=76262&clickType=listing,N/A,New
Used 2018 Honda Odyssey EX-L,"20,800","116,370 miles",https://www.autotrader.com/cars-for-sale/vehicle/696608244?city=Roanoke&listingType=USED&makeCode=HONDA&maxPrice=24000&mileage=150000&modelCode=ODYSSEY&newSearch=false&referrer=%2Fcars-for-sale%2Fcars-under-24000%2Fhonda%2Fodyssey%2Froanoke-tx%3FisNewSearch%3Dfalse%26maxMileage%3D150000%26searchRadius%3D0%26startYear%3D2018%26trimCodeList%3DODYSSEY%257CEX-L%252CODYSSEY%257CElite%252CODYSSEY%257CTouring%252CODYSSEY%257CTouring%2520Elite%26zip%3D76262&searchRadius=0&startYear=2018&state=TX&trimCode=ODYSSEY%7CEX-L&trimCode=ODYSSEY%7CElite&trimCode=ODYSSEY%7CTouring&trimCode=ODYSSEY%7CTouring%20Elite&zip=76262&clickType=listing,N/A,New
Used 2019 Honda Odyssey EX-L,"19,829","125,612 miles",https://www.autotrader.com/cars-for-sale/vehicle/692447696?city=Roanoke&listingType=USED&makeCode=HONDA&maxPrice=24000&mileage=150000&modelCode=ODYSSEY&newSearch=false&referrer=%2Fcars-for-sale%2Fcars-under-24000%2Fhonda%2Fodyssey%2Froanoke-tx%3FisNewSearch%3Dfalse%26maxMileage%3D150000%26searchRadius%3D0%26startYear%3D2018%26trimCodeList%3DODYSSEY%257CEX-L%252CODYSSEY%257CElite%252CODYSSEY%257CTouring%252CODYSSEY%257CTouring%2520Elite%26zip%3D76262&searchRadius=0&startYear=2018&state=TX&trimCode=ODYSSEY%7CEX-L&trimCode=ODYSSEY%7CElite&trimCode=ODYSSEY%7CTouring&trimCode=ODYSSEY%7CTouring%20Elite&zip=76262&clickType=listing,N/A,New
Used 2018 Honda Odyssey EX-L,"23,999","117,629 miles",https://www.autotrader.com/cars-for-sale/vehicle/701078724?city=Roanoke&listingType=USED&makeCode=HONDA&maxPrice=24000&mileage=150000&modelCode=ODYSSEY&newSearch=false&referrer=%2Fcars-for-sale%2Fcars-under-24000%2Fhonda%2Fodyssey%2Froanoke-tx%3FisNewSearch%3Dfalse%26maxMileage%3D150000%26searchRadius%3D0%26startYear%3D2018%26trimCodeList%3DODYSSEY%257CEX-L%252CODYSSEY%257CElite%252CODYSSEY%257CTouring%252CODYSSEY%257CTouring%2520Elite%26zip%3D76262&searchRadius=0&startYear=2018&state=TX&trimCode=ODYSSEY%7CEX-L&trimCode=ODYSSEY%7CElite&trimCode=ODYSSEY%7CTouring&trimCode=ODYSSEY%7CTouring%20Elite&zip=76262&clickType=listing,N/A,New
Used 2018 Honda Odyssey Elite,"23,995","102,545 miles",https://www.autotrader.com/cars-for-sale/vehicle/700602389?city=Roanoke&listingType=USED&makeCode=HONDA&maxPrice=24000&mileage=150000&modelCode=ODYSSEY&newSearch=false&referrer=%2Fcars-for-sale%2Fcars-under-24000%2Fhonda%2Fodyssey%2Froanoke-tx%3FisNewSearch%3Dfalse%26maxMileage%3D150000%26searchRadius%3D0%26startYear%3D2018%26trimCodeList%3DODYSSEY%257CEX-L%252CODYSSEY%257CElite%252CODYSSEY%257CTouring%252CODYSSEY%257CTouring%2520Elite%26zip%3D76262&searchRadius=0&startYear=2018&state=TX&trimCode=ODYSSEY%7CEX-L&trimCode=ODYSSEY%7CElite&trimCode=ODYSSEY%7CTouring&trimCode=ODYSSEY%7CTouring%20Elite&zip=76262&clickType=listing,N/A,New
Used 2018 Honda Odyssey Elite,"23,995","110,742 miles",https://www.autotrader.com/cars-for-sale/vehicle/700876642?city=Roanoke&listingType=USED&makeCode=HONDA&maxPrice=24000&mileage=150000&modelCode=ODYSSEY&newSearch=false&referrer=%2Fcars-for-sale%2Fcars-under-24000%2Fhonda%2Fodyssey%2Froanoke-tx%3FisNewSearch%3Dfalse%26maxMileage%3D150000%26searchRadius%3D0%26startYear%3D2018%26trimCodeList%3DODYSSEY%257CEX-L%252CODYSSEY%257CElite%252CODYSSEY%257CTouring%252CODYSSEY%257CTouring%2520Elite%26zip%3D76262&searchRadius=0&startYear=2018&state=TX&trimCode=ODYSSEY%7CEX-L&trimCode=ODYSSEY%7CElite&trimCode=ODYSSEY%7CTouring&trimCode=ODYSSEY%7CTouring%20Elite&zip=76262&clickType=listing,N/A,New
Used 2018 Honda Odyssey EX-L,"23,000","92,149 miles",https://www.autotrader.com/cars-for-sale/vehicle/700999026?city=Roanoke&listingType=USED&makeCode=HONDA&maxPrice=24000&mileage=150000&modelCode=ODYSSEY&newSearch=false&referrer=%2Fcars-for-sale%2Fcars-under-24000%2Fhonda%2Fodyssey%2Froanoke-tx%3FisNewSearch%3Dfalse%26maxMileage%3D150000%26searchRadius%3D0%26startYear%3D2018%26trimCodeList%3DODYSSEY%257CEX-L%252CODYSSEY%257CElite%252CODYSSEY%257CTouring%252CODYSSEY%257CTouring%2520Elite%26zip%3D76262&searchRadius=0&startYear=2018&state=TX&trimCode=ODYSSEY%7CEX-L&trimCode=ODYSSEY%7CElite&trimCode=ODYSSEY%7CTouring&trimCode=ODYSSEY%7CTouring%20Elite&zip=76262&clickType=listing,N/A,New
Used 2018 Honda Odyssey EX-L,"22,498","103,874 miles",https://www.autotrader.com/cars-for-sale/vehicle/700770073?city=Roanoke&listingType=USED&makeCode=HONDA&maxPrice=24000&mileage=150000&modelCode=ODYSSEY&newSearch=false&referrer=%2Fcars-for-sale%2Fcars-under-24000%2Fhonda%2Fodyssey%2Froanoke-tx%3FisNewSearch%3Dfalse%26maxMileage%3D150000%26searchRadius%3D0%26startYear%3D2018%26trimCodeList%3DODYSSEY%257CEX-L%252CODYSSEY%257CElite%252CODYSSEY%257CTouring%252CODYSSEY%257CTouring%2520Elite%26zip%3D76262&searchRadius=0&startYear=2018&state=TX&trimCode=ODYSSEY%7CEX-L&trimCode=ODYSSEY%7CElite&trimCode=ODYSSEY%7CTouring&trimCode=ODYSSEY%7CTouring%20Elite&zip=76262&clickType=listing,N/A,New
Used 2019 Honda Odyssey EX-L,"20,795","122,448 miles",https://www.autotrader.com/cars-for-sale/vehicle/695845491?city=Roanoke&listingType=USED&makeCode=HONDA&maxPrice=24000&mileage=150000&modelCode=ODYSSEY&newSearch=false&referrer=%2Fcars-for-sale%2Fcars-under-24000%2Fhonda%2Fodyssey%2Froanoke-tx%3FisNewSearch%3Dfalse%26maxMileage%3D150000%26searchRadius%3D0%26startYear%3D2018%26trimCodeList%3DODYSSEY%257CEX-L%252CODYSSEY%257CElite%252CODYSSEY%257CTouring%252CODYSSEY%257CTouring%2520Elite%26zip%3D76262&searchRadius=0&startYear=2018&state=TX&trimCode=ODYSSEY%7CEX-L&trimCode=ODYSSEY%7CElite&trimCode=ODYSSEY%7CTouring&trimCode=ODYSSEY%7CTouring%20Elite&zip=76262&clickType=listing,N/A,New
Used 2019 Honda Odyssey EX-L,"20,491","67,769 miles",https://www.autotrader.com/cars-for-sale/vehicle/700858436?city=Roanoke&listingType=USED&makeCode=HONDA&maxPrice=24000&mileage=150000&modelCode=ODYSSEY&newSearch=false&referrer=%2Fcars-for-sale%2Fcars-under-24000%2Fhonda%2Fodyssey%2Froanoke-tx%3FisNewSearch%3Dfalse%26maxMileage%3D150000%26searchRadius%3D0%26startYear%3D2018%26trimCodeList%3DODYSSEY%257CEX-L%252CODYSSEY%257CElite%252CODYSSEY%257CTouring%252CODYSSEY%257CTouring%2520Elite%26zip%3D76262&searchRadius=0&startYear=2018&state=TX&trimCode=ODYSSEY%7CEX-L&trimCode=ODYSSEY%7CElite&trimCode=ODYSSEY%7CTouring&trimCode=ODYSSEY%7CTouring%20Elite&zip=76262&clickType=listing,N/A,New
Used 2018 Honda Odyssey EX-L,"18,995","126,339 miles",https://www.autotrader.com/cars-for-sale/vehicle/700754153?city=Roanoke&listingType=USED&makeCode=HONDA&maxPrice=24000&mileage=150000&modelCode=ODYSSEY&newSearch=false&referrer=%2Fcars-for-sale%2Fcars-under-24000%2Fhonda%2Fodyssey%2Froanoke-tx%3FisNewSearch%3Dfalse%26maxMileage%3D150000%26searchRadius%3D0%26startYear%3D2018%26trimCodeList%3DODYSSEY%257CEX-L%252CODYSSEY%257CElite%252CODYSSEY%257CTouring%252CODYSSEY%257CTouring%2520Elite%26zip%3D76262&searchRadius=0&startYear=2018&state=TX&trimCode=ODYSSEY%7CEX-L&trimCode=ODYSSEY%7CElite&trimCode=ODYSSEY%7CTouring&trimCode=ODYSSEY%7CTouring%20Elite&zip=76262&clickType=listing,N/A,New
Used 2018 Honda Odyssey Elite,"14,450","83,336 miles",https://www.autotrader.com/cars-for-sale/vehicle/701099311?city=Roanoke&listingType=USED&makeCode=HONDA&maxPrice=24000&mileage=150000&modelCode=ODYSSEY&newSearch=false&referrer=%2Fcars-for-sale%2Fcars-under-24000%2Fhonda%2Fodyssey%2Froanoke-tx%3FisNewSearch%3Dfalse%26maxMileage%3D150000%26searchRadius%3D0%26startYear%3D2018%26trimCodeList%3DODYSSEY%257CEX-L%252CODYSSEY%257CElite%252CODYSSEY%257CTouring%252CODYSSEY%257CTouring%2520Elite%26zip%3D76262&searchRadius=0&startYear=2018&state=TX&trimCode=ODYSSEY%7CEX-L&trimCode=ODYSSEY%7CElite&trimCode=ODYSSEY%7CTouring&trimCode=ODYSSEY%7CTouring%20Elite&zip=76262&clickType=listing,N/A,New
Used 2018 Honda Odyssey EX-L,"23,500","92,986 miles",https://www.autotrader.com/cars-for-sale/vehicle/700304805?city=Roanoke&listingType=USED&makeCode=HONDA&maxPrice=24000&mileage=150000&modelCode=ODYSSEY&newSearch=false&referrer=%2Fcars-for-sale%2Fcars-under-24000%2Fhonda%2Fodyssey%2Froanoke-tx%3FisNewSearch%3Dfalse%26maxMileage%3D150000%26searchRadius%3D0%26startYear%3D2018%26trimCodeList%3DODYSSEY%257CEX-L%252CODYSSEY%257CElite%252CODYSSEY%257CTouring%252CODYSSEY%257CTouring%2520Elite%26zip%3D76262&searchRadius=0&startYear=2018&state=TX&trimCode=ODYSSEY%7CEX-L&trimCode=ODYSSEY%7CElite&trimCode=ODYSSEY%7CTouring&trimCode=ODYSSEY%7CTouring%20Elite&zip=76262&clickType=listing,N/A,New
Used 2020 Honda Odyssey EX-L,"24,000","91,531 miles",https://www.autotrader.com/cars-for-sale/vehicle/700171616?city=Roanoke&listingType=USED&makeCode=HONDA&maxPrice=24000&mileage=150000&modelCode=ODYSSEY&newSearch=false&referrer=%2Fcars-for-sale%2Fcars-under-24000%2Fhonda%2Fodyssey%2Froanoke-tx%3FisNewSearch%3Dfalse%26maxMileage%3D150000%26searchRadius%3D0%26startYear%3D2018%26trimCodeList%3DODYSSEY%257CEX-L%252CODYSSEY%257CElite%252CODYSSEY%257CTouring%252CODYSSEY%257CTouring%2520Elite%26zip%3D76262&searchRadius=0&startYear=2018&state=TX&trimCode=ODYSSEY%7CEX-L&trimCode=ODYSSEY%7CElite&trimCode=ODYSSEY%7CTouring&trimCode=ODYSSEY%7CTouring%20Elite&zip=76262&clickType=listing,N/A,New
Used 2018 Honda Odyssey EX-L,"24,000","101,064 miles",https://www.autotrader.com/cars-for-sale/vehicle/697936483?city=Roanoke&listingType=USED&makeCode=HONDA&maxPrice=24000&mileage=150000&modelCode=ODYSSEY&newSearch=false&referrer=%2Fcars-for-sale%2Fcars-under-24000%2Fhonda%2Fodyssey%2Froanoke-tx%3FisNewSearch%3Dfalse%26maxMileage%3D150000%26searchRadius%3D0%26startYear%3D2018%26trimCodeList%3DODYSSEY%257CEX-L%252CODYSSEY%257CElite%252CODYSSEY%257CTouring%252CODYSSEY%257CTouring%2520Elite%26zip%3D76262&searchRadius=0&startYear=2018&state=TX&trimCode=ODYSSEY%7CEX-L&trimCode=ODYSSEY%7CElite&trimCode=ODYSSEY%7CTouring&trimCode=ODYSSEY%7CTouring%20Elite&zip=76262&clickType=listing,N/A,New
Used 2018 Honda Odyssey Touring,"23,998","118,013 miles",https://www.autotrader.com/cars-for-sale/vehicle/697899378?city=Roanoke&listingType=USED&makeCode=HONDA&maxPrice=24000&mileage=150000&modelCode=ODYSSEY&newSearch=false&referrer=%2Fcars-for-sale%2Fcars-under-24000%2Fhonda%2Fodyssey%2Froanoke-tx%3FisNewSearch%3Dfalse%26maxMileage%3D150000%26searchRadius%3D0%26startYear%3D2018%26trimCodeList%3DODYSSEY%257CEX-L%252CODYSSEY%257CElite%252CODYSSEY%257CTouring%252CODYSSEY%257CTouring%2520Elite%26zip%3D76262&searchRadius=0&startYear=2018&state=TX&trimCode=ODYSSEY%7CEX-L&trimCode=ODYSSEY%7CElite&trimCode=ODYSSEY%7CTouring&trimCode=ODYSSEY%7CTouring%20Elite&zip=76262&clickType=listing,N/A,New
Used 2018 Honda Odyssey Touring,"23,998","100,927 miles",https://www.autotrader.com/cars-for-sale/vehicle/694751758?city=Roanoke&listingType=USED&makeCode=HONDA&maxPrice=24000&mileage=150000&modelCode=ODYSSEY&newSearch=false&referrer=%2Fcars-for-sale%2Fcars-under-24000%2Fhonda%2Fodyssey%2Froanoke-tx%3FisNewSearch%3Dfalse%26maxMileage%3D150000%26searchRadius%3D0%26startYear%3D2018%26trimCodeList%3DODYSSEY%257CEX-L%252CODYSSEY%257CElite%252CODYSSEY%257CTouring%252CODYSSEY%257CTouring%2520Elite%26zip%3D76262&searchRadius=0&startYear=2018&state=TX&trimCode=ODYSSEY%7CEX-L&trimCode=ODYSSEY%7CElite&trimCode=ODYSSEY%7CTouring&trimCode=ODYSSEY%7CTouring%20Elite&zip=76262&clickType=listing,N/A,New
Used 2018 Honda Odyssey EX-L,"23,997","101,102 miles",https://www.autotrader.com/cars-for-sale/vehicle/701080290?city=Roanoke&listingType=USED&makeCode=HONDA&maxPrice=24000&mileage=150000&modelCode=ODYSSEY&newSearch=false&referrer=%2Fcars-for-sale%2Fcars-under-24000%2Fhonda%2Fodyssey%2Froanoke-tx%3FisNewSearch%3Dfalse%26maxMileage%3D150000%26searchRadius%3D0%26startYear%3D2018%26trimCodeList%3DODYSSEY%257CEX-L%252CODYSSEY%257CElite%252CODYSSEY%257CTouring%252CODYSSEY%257CTouring%2520Elite%26zip%3D76262&searchRadius=0&startYear=2018&state=TX&trimCode=ODYSSEY%7CEX-L&trimCode=ODYSSEY%7CElite&trimCode=ODYSSEY%7CTouring&trimCode=ODYSSEY%7CTouring%20Elite&zip=76262&clickType=listing,N/A,New
Used 2019 Honda Odyssey Touring,"23,988","97,370 miles",https://www.autotrader.com/cars-for-sale/vehicle/697779070?city=Roanoke&listingType=USED&makeCode=HONDA&maxPrice=24000&mileage=150000&modelCode=ODYSSEY&newSearch=false&referrer=%2Fcars-for-sale%2Fcars-under-24000%2Fhonda%2Fodyssey%2Froanoke-tx%3FisNewSearch%3Dfalse%26maxMileage%3D150000%26searchRadius%3D0%26startYear%3D2018%26trimCodeList%3DODYSSEY%257CEX-L%252CODYSSEY%257CElite%252CODYSSEY%257CTouring%252CODYSSEY%257CTouring%2520Elite%26zip%3D76262&searchRadius=0&startYear=2018&state=TX&trimCode=ODYSSEY%7CEX-L&trimCode=ODYSSEY%7CElite&trimCode=ODYSSEY%7CTouring&trimCode=ODYSSEY%7CTouring%20Elite&zip=76262&clickType=listing,N/A,New
2018 Honda Odyssey EX-L- 1 owner - well serviced - remote start!!!!,"$17,850",N/A,Norman,https://oklahomacity.craigslist.org/ctd/d/norman-2018-honda-odyssey-ex-owner-well/7695421471.html,New
2019 Honda Odyssey LX,"$19,900",N/A,Grand Prairie,https://dallas.craigslist.org/dal/cto/d/grand-prairie-2019-honda-odyssey-lx/7694967985.html,New
"2019 Honda Odyssey  EX-L Minivan, Passenger","$21,993",N/A,Call *(346) 251-8354* to Confirm Availability Instantly,https://houston.craigslist.org/ctd/d/houston-2019-honda-odyssey-ex-minivan/7693299391.html,New
"2018 Honda Odyssey  EX-L Minivan, Passenger","$22,399",N/A,Call *(361) 792-3468* to Confirm Availability Instantly,https://corpuschristi.craigslist.org/ctd/d/corpus-christi-2018-honda-odyssey-ex/7693221729.html,New
"2019 Honda Odyssey EX, 59 Kmiles $21,990 - $20,990","$20,990",N/A,dallas,https://dallas.craigslist.org/dal/cto/d/carrollton-2019-honda-odyssey-ex-59/7692653796.html,New
"2018 Honda Odyssey  EX-L Minivan, Passenger","$22,399",N/A,Call *(361) 792-3468* to Confirm Availability Instantly,https://corpuschristi.craigslist.org/ctd/d/corpus-christi-2018-honda-odyssey-ex/7692508646.html,New
2017 Honda Odyssey EX-L EXL,"$20,700",N/A,Peachland,https://oklahomacity.craigslist.org/ctd/d/el-reno-2017-honda-odyssey-ex-exl/7692396931.html,New
2020 Honda Odyssey EX-L,"$24,000",N/A,Dallas,https://dallas.craigslist.org/dal/cto/d/dallas-2020-honda-odyssey-ex/7692349217.html,New
2018 Honda Odyssey EX-L,"$24,900",N/A,dallas,https://dallas.craigslist.org/dal/cto/d/lewisville-2018-honda-odyssey-ex/7690051688.html,New
"2018 Honda Odyssey  Elite Minivan, Passenger","$23,450",N/A,Call *(682) 228-3849* to Confirm Availability Instantly,https://dallas.craigslist.org/dal/ctd/d/dallas-2018-honda-odyssey-elite-minivan/7690004677.html,New
2018 Honda Odyssey,"$24,500",N/A,dallas,https://dallas.craigslist.org/dal/cto/d/desoto-2018-honda-odyssey/7689967851.html,New
"2018 Honda Odyssey  EX-L Minivan, Passenger","$22,399",N/A,Call *(361) 792-3468* to Confirm Availability Instantly,https://corpuschristi.craigslist.org/ctd/d/corpus-christi-2018-honda-odyssey-ex/7689889125.html,New
2017 Honda Odyssey EX-L,"$19,879",N/A,"Arlington, TX",https://dallas.craigslist.org/mdf/ctd/d/dallas-2017-honda-odyssey-ex/7688579527.html,New
"2018 Honda Odyssey  EX-L Minivan, Passenger","$22,399",N/A,Call *(361) 792-3468* to Confirm Availability Instantly,https://corpuschristi.craigslist.org/ctd/d/corpus-christi-2018-honda-odyssey-ex/7687839407.html,New
"2018 Honda Odyssey  Elite Minivan, Passenger","$23,450",N/A,Call *(682) 228-3849* to Confirm Availability Instantly,https://dallas.craigslist.org/ftw/ctd/d/fort-worth-2018-honda-odyssey-elite/7687137088.html,New
2017 Honda Odyssey SE *Online Approval*Bad Credit BK ITIN OK*,"$20,529",N/A,+ Dallas Auto Finance by Dallas Lease Returns Over 400 Vehic,https://dallas.craigslist.org/dal/ctd/d/addison-2017-honda-odyssey-se-online/7686899305.html,New
